,2017,2018,2019,2020,2021,2022
BEL,0.3004046884130919,0.2797973793580282,0.29926010195136427,0.2911489744979391,0.3199405271952894,0.2940256289982943
BGR,1.0527984713496312e-05,0.0012959032967351893,0.0030428069883484885,0.00373676987933755,0.0043507695761793586,0.004675483223582744
CZE,0.3901932588770526,0.38581783485961213,0.38917766822569366,0.3801167355483901,0.3771742447008899,0.3542079101505215
DNK,0.5687228322574978,0.5582905647317105,0.5433447561458734,0.5082598412634703,0.5491518574144462,0.5282915025246029
DEU,0.39804226626319233,0.40570966141121995,0.398315141537376,0.3684428628930111,0.381479982900532,0.36499385484771085
EST,0.4177545744889285,0.4457080463748849,0.46411783064693163,0.48257405441290036,0.4969296698576161,0.4676875814910719
IRL,0.3725081345834377,0.3715911530115835,0.3824985375112564,0.3577279435975997,0.30979151233811086,0.27649295702731264
GRC,0.09439457196822232,0.09910408943906157,0.14177529893959356,0.10643355121705694,0.08298738997825739,0.03943440029052259
ESP,0.30914571591058726,0.29760509392462303,0.3107987439576485,0.24840879158710366,0.17238635120408768,0.11074522682341267
FRA,0.4109557412828543,0.41271057677412026,0.4118399492700756,0.38720380184614317,0.3944879921523623,0.3211055324223814
HRV,0.3666626932473749,0.37433872574137445,0.3905299431948722,0.37658130120711064,0.3867436699389108,0.335647975708063
ITA,0.2593743475387058,0.2539633433691826,0.2882112876507458,0.30598868340686425,0.29988467671644775,0.2738287928998522
CYP,0.03733065966644007,0.042067441442996,0.03426919224491877,0.003530182088687196,0.012566336789528613,0.00333727537799739
LVA,0.4024174963943875,0.4362353172740701,0.42434532554275334,0.418743014269685,0.4403013860764967,0.4129191870744581
LTU,0.06405841638465415,0.03076728484439438,0.008371335316874182,0.01958251722817621,0.005844655667617069,0.10949536571256374
LUX,0.29550801676555094,0.2995629827860724,0.30792146504930734,0.296069221031329,0.29270909892339547,0.2907586123744682
HUN,0.2939168639778767,0.292314857820706,0.27215810074438157,0.29428591713675334,0.2832377739854858,0.25289087440438596
MLT,0.120957990328189,0.1383742294638789,0.1415524474223145,0.1066802910090152,0.127245252028395,0.10465034317920302
NLD,0.339366504838215,0.33977481693626305,0.34752747516317195,0.32820853644881387,0.3625168254925259,0.2950523047435172
AUT,0.49361516641217257,0.4980073014413232,0.48729437213372734,0.48397679847688185,0.49369253696127086,0.43756785322978253
POL,0.3111756852174817,0.3349300816966017,0.33570070594194873,0.324059963902242,0.3347126699921422,0.3021208406988288
PRT,0.21703651904046567,0.2127495908591212,0.2027008904453503,0.1953920307428738,0.17359784798980726,0.15146011222195302
ROU,0.3737364330207495,0.3729293276502095,0.36537879758988245,0.33413203901654004,0.3270183934209553,0.2206536030131284
SVN,0.4024447462992029,0.4153060451580539,0.4305841479866921,0.43499288888852683,0.43521725020401436,0.39724219288064905
SVK,0.2907314817306663,0.2848719948089289,0.29715350078442865,0.30696836893333657,0.32393372472422677,0.253191641459004
FIN,0.5531713293255237,0.544579921605246,0.5566068327930123,0.5238990683652431,0.5407272563133471,0.5539795148051845
SWE,0.6242142069504447,0.6264277150635661,0.6288177761461604,0.6000590589368742,0.6078322584053986,0.6161339239809203
ISL,0.6395827883739491,0.6635706464891156,0.6639262181012979,0.6322088227206559,0.6351837073814041,0.6438861664407847
NOR,1.0,1.0,1.0,1.0,0.9980744854229977,0.9981647979580615
