,2017,2018,2019,2020,2021,2022
BEL,19,22,20,22,18,16
BGR,29,29,29,28,29,28
CZE,12,12,13,11,13,11
DNK,4,4,5,5,4,5
DEU,11,11,11,13,12,10
EST,7,7,7,7,6,6
IRL,14,15,14,14,19,18
GRC,26,26,25,26,26,27
ESP,18,19,18,23,24,24
FRA,8,10,10,10,10,13
HRV,15,13,12,12,11,12
ITA,23,23,22,19,20,19
CYP,28,27,27,29,27,29
LVA,10,8,9,9,8,8
LTU,27,28,28,27,28,25
LUX,20,18,19,20,21,17
HUN,21,20,23,21,22,21
MLT,25,25,26,25,25,26
NLD,16,16,16,16,14,15
AUT,6,6,6,6,7,7
POL,17,17,17,17,15,14
PRT,24,24,24,24,23,23
ROU,13,14,15,15,16,22
SVN,9,9,8,8,9,9
SVK,22,21,21,18,17,20
FIN,5,5,4,4,5,4
SWE,3,3,3,3,3,3
ISL,2,2,2,2,2,2
NOR,1,1,1,1,1,1
